timestamp,expression,sharpe,fitness,status
2026-04-28T18:39:51.765719,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 70)), 5), subindustry)",1.37,1.01,submitted
2026-04-28T20:03:36.372575,"group_neutralize(ts_decay_linear(-rank(ts_delta(vwap, 20)) * rank(ts_zscore(volume / ts_mean(volume, 60), 20)) * (1 - rank(ts_std_dev(returns, 20))), 10), subindustry)",0.17,0.06,submitted
2026-04-28T20:04:18.931366,"group_neutralize(ts_decay_linear(-rank(ts_delta(close, 40)) * rank(ts_mean((high - low) / close, 20)) * rank(adv20 / volume), 12), subindustry)",0.64,0.44,submitted
2026-04-28T20:07:25.035727,"group_neutralize(ts_decay_linear(-rank(ts_sum(returns,20)) * rank(1 / (ts_std_dev(returns,60) + 0.001)) * rank(1 / (ts_mean((high - low) / close,20) + 0.001)), 10), subindustry)",0.1,0.04,submitted
2026-04-28T20:42:49.539991,"group_neutralize(ts_decay_linear((rank(ts_mean(cashflow_op / assets, 252)) + rank(ts_delta(revenue / assets, 120))) * rank(-ts_std_dev(returns, 120)), 20), subindustry)",-0.03,-0.01,submitted
2026-04-28T20:43:26.894384,"group_neutralize(ts_decay_linear(-rank(ts_delta(close,60)) * rank(1 / (ts_std_dev(returns,120) + ts_mean((high - low) / close,20))),10),subindustry)",0.24,0.13,submitted
2026-04-28T20:44:09.261649,"group_neutralize(ts_decay_linear(-rank(ts_delta(close, 60)) * (1 - rank(ts_std_dev(returns, 120))) * rank(ts_mean(volume, 20) / ts_mean(volume, 120)), 20), subindustry)",0.12,0.04,submitted
2026-04-28T21:10:25.172667,"group_neutralize(ts_decay_linear(-rank(vec_avg(anl4_mark)) - rank(ts_delta(vec_avg(anl4_mark), 20)), 10), subindustry)",0.43,0.14,submitted
2026-04-28T21:10:57.395170,"group_neutralize(ts_decay_linear(rank(ts_delta(fn_repurchased_shares_value_q, 252)) + rank(ts_delta(fn_repayments_of_debt_q, 252)) - rank(ts_delta(fn_proceeds_from_issuance_of_debt_q, 252)) - rank(ts_delta(fn_proceeds_from_issuance_of_common_stock_q, 252)), 20), subindustry)",0.49,0.17,submitted
2026-04-28T21:14:32.779077,"group_neutralize(ts_decay_linear(rank(ts_delta(fscore_bfl_profitability, 20)) + rank(ts_delta(cashflow_efficiency_rank_derivative, 20)) + rank(earnings_certainty_rank_derivative), 10), subindustry)",0.05,0.01,submitted
