timestamp,expression,sharpe,fitness,status
2026-04-28T17:53:21.541077,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 60)), 10), subindustry)",1.25,0.98,submitted
2026-04-28T18:25:29.476470,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 90)), 20), subindustry)",0.99,0.74,submitted
2026-04-28T18:25:46.470025,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 120)), 10), subindustry)",0.95,0.69,submitted
2026-04-28T18:29:47.277165,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 90)), 10), subindustry)",1.15,0.9,submitted
2026-04-28T18:39:29.486209,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 80)), 5), subindustry)",1.29,0.94,submitted
2026-04-28T18:39:46.053462,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 90)), 5), industry)",1.15,0.88,submitted
2026-04-28T18:39:51.765719,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 70)), 5), subindustry)",1.37,1.01,submitted
2026-04-28T20:03:36.372575,"group_neutralize(ts_decay_linear(-rank(ts_delta(vwap, 20)) * rank(ts_zscore(volume / ts_mean(volume, 60), 20)) * (1 - rank(ts_std_dev(returns, 20))), 10), subindustry)",0.17,0.06,submitted
2026-04-28T20:04:18.931366,"group_neutralize(ts_decay_linear(-rank(ts_delta(close, 40)) * rank(ts_mean((high - low) / close, 20)) * rank(adv20 / volume), 12), subindustry)",0.64,0.44,submitted
2026-04-28T20:07:25.035727,"group_neutralize(ts_decay_linear(-rank(ts_sum(returns,20)) * rank(1 / (ts_std_dev(returns,60) + 0.001)) * rank(1 / (ts_mean((high - low) / close,20) + 0.001)), 10), subindustry)",0.1,0.04,submitted
