timestamp,expression,sharpe,fitness,status
2026-04-28T15:34:07.572439,"ts_rank(ts_delta(close, 5), 60) * rank(ts_mean(volume, 20) / ts_mean(volume, 60))",-0.96,-0.38,submitted
2026-04-28T16:27:45.858934,"group_neutralize(-rank(ts_delta(close, 5)) * rank(ts_mean(volume, 5) / ts_mean(volume, 60)), subindustry)",1.17,0.45,submitted
2026-04-28T16:50:07.604074,,0.0,0.0,codex_empty
2026-04-28T17:04:18.006111,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 20)), 5), subindustry)",1.13,0.64,submitted
2026-04-28T17:21:39.530481,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 20)) * -rank(ts_corr(rank(close), rank(volume), 20)), 5), subindustry)",0.83,0.46,submitted
2026-04-28T17:24:31.082321,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 20)), 10), subindustry)",1.03,0.63,submitted
2026-04-28T17:25:18.378391,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 60)), 5), subindustry)",1.32,0.94,submitted
2026-04-28T17:53:03.844483,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 40)), 5), subindustry)",1.1,0.68,submitted
2026-04-28T17:53:20.315881,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 90)), 5), subindustry)",1.24,0.89,submitted
2026-04-28T17:53:21.541077,"group_neutralize(ts_decay_linear(rank(ts_delta(close, 10)) * -rank(ts_corr(rank(close), rank(volume), 60)), 10), subindustry)",1.25,0.98,submitted
