timestamp,expression,sharpe,fitness,status
2026-04-28T21:14:32.779077,"group_neutralize(ts_decay_linear(rank(ts_delta(fscore_bfl_profitability, 20)) + rank(ts_delta(cashflow_efficiency_rank_derivative, 20)) + rank(earnings_certainty_rank_derivative), 10), subindustry)",0.05,0.01,submitted
2026-04-28T22:34:28.362339,"group_neutralize(ts_decay_linear(-rank(ts_rank(anl4_qfv4_dts_spe, 120)), 20), subindustry)",-0.04,-0.0,submitted
2026-04-28T22:35:11.048985,"group_neutralize(ts_decay_linear(rank(ts_mean(scl12_sentiment_fast_d1, 20)), 10), subindustry)",-0.31,-0.09,submitted
2026-04-28T22:35:43.607339,"group_neutralize(ts_decay_linear(-rank(ts_rank(news_short_interest, 60)) - rank(ts_delta(news_short_interest, 20)), 20), subindustry)",0.73,0.25,submitted
2026-04-28T23:42:45.667978,"group_neutralize(ts_decay_linear(rank(ts_rank((forward_price_120 - forward_price_60) / close, 60)), 20), subindustry)",0.32,0.05,submitted
2026-04-28T23:42:52.618746,"group_neutralize(ts_decay_linear(-rank(ts_rank(unsystematic_risk_last_90_days, 60)) - rank(ts_rank(beta_last_90_days_spy, 60)), 20), subindustry)",-0.9,-0.42,submitted
2026-04-28T23:48:54.816601,"group_neutralize(ts_decay_linear(rank(ts_mean(rp_nip_credit_ratings, 63)) + rank(ts_mean(rp_ess_dividends, 63)), 20), subindustry)",-0.6,-0.26,submitted
2026-04-29T00:33:34.657608,"group_neutralize(ts_decay_linear(rank(ts_mean(rp_ess_insider, 126)) + rank(ts_delta(cashflow_efficiency_rank_derivative, 126)) - rank(ts_delta(fn_entity_common_stock_shares_out_q, 252)), 20), subindustry)",0.37,0.16,submitted
2026-04-29T00:34:58.556591,"group_neutralize(ts_decay_linear(rank(ts_delta(anl4_qfv4_eps_mean, 126)) - rank(ts_rank(anl4_qfv4_dts_spe, 120)) + rank(ts_mean(analyst_revision_rank_derivative, 120)), 20), subindustry)",-0.19,-0.05,submitted
2026-04-29T00:35:09.529971,"group_neutralize(ts_decay_linear(rank(ts_mean(relative_valuation_rank_derivative, 126)) + rank(ts_delta(cashflow_efficiency_rank_derivative, 126)) + rank(ts_mean(growth_potential_rank_derivative, 126)), 20), subindustry)",-0.91,-0.63,submitted
